ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
1234,15,0,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/1234.png,0,0,46,145,6
resource/1234.png,46,0,45,145,6
resource/1234.png,91,0,47,145,6
resource/1234.png,138,0,57,145,6
resource/1234.png,195,0,93,145,6
resource/1234.png,288,0,138,145,6
resource/1234.png,426,0,177,145,6
resource/1234.png,603,0,200,145,6
resource/1234.png,803,0,212,145,6
resource/1234.png,1015,0,229,145,6
resource/1234.png,1244,0,82,145,6
resource/1234.png,1326,0,107,145,6
resource/1234.png,1433,0,136,145,6
