ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
PlayerIntro,15,0,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/PlayerIntro.png,0,0,120,242,7
resource/PlayerIntro.png,120,0,146,242,7
resource/PlayerIntro.png,266,0,170,242,7
resource/PlayerIntro.png,436,0,188,242,7
resource/PlayerIntro.png,624,0,197,242,7
resource/PlayerIntro.png,821,0,196,242,7
resource/PlayerIntro.png,1017,0,195,242,7
resource/PlayerIntro.png,1212,0,195,242,7
resource/PlayerIntro.png,1407,0,196,242,7
resource/PlayerIntro.png,1603,0,189,242,7
resource/PlayerIntro.png,1792,0,193,242,7
resource/PlayerIntro.png,1985,0,212,242,7
resource/PlayerIntro.png,2197,0,197,242,7
resource/PlayerIntro.png,2394,0,140,242,7
resource/PlayerIntro.png,2534,0,150,242,7
resource/PlayerIntro.png,2684,0,153,242,7
resource/PlayerIntro.png,2837,0,150,242,7
resource/PlayerIntro.png,2987,0,151,242,7
resource/PlayerIntro.png,3138,0,153,242,7
resource/PlayerIntro.png,3291,0,150,242,7
resource/PlayerIntro.png,3441,0,151,242,7
resource/PlayerIntro.png,3592,0,153,242,7
resource/PlayerIntro.png,3745,0,150,242,7
resource/PlayerIntro.png,3895,0,151,242,7
resource/PlayerIntro.png,4046,0,153,242,7
resource/PlayerIntro.png,4199,0,150,242,7
resource/PlayerIntro.png,4349,0,151,242,7
resource/PlayerIntro.png,4500,0,153,242,7
resource/PlayerIntro.png,4653,0,150,242,7
resource/PlayerIntro.png,4803,0,151,242,7
resource/PlayerIntro.png,4954,0,156,242,7
resource/PlayerIntro.png,5110,0,154,242,7
resource/PlayerIntro.png,5264,0,153,242,7
resource/PlayerIntro.png,5417,0,158,242,7
resource/PlayerIntro.png,5575,0,156,242,7
resource/PlayerIntro.png,5731,0,160,242,7
resource/PlayerIntro.png,5891,0,145,242,7
resource/PlayerIntro.png,6036,0,141,242,7
resource/PlayerIntro.png,6177,0,142,242,7
resource/PlayerIntro.png,6319,0,136,242,7
resource/PlayerIntro.png,6455,0,125,242,7
resource/PlayerIntro.png,6580,0,116,242,7
resource/PlayerIntro.png,6696,0,112,242,7
resource/PlayerIntro.png,6808,0,105,242,7
