ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
carnationBossFa_High,15,0,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/carnationBossFa_High.png,0,0,340,665,8
resource/carnationBossFa_High.png,340,0,368,665,8
resource/carnationBossFa_High.png,708,0,380,665,8
resource/carnationBossFa_High.png,1088,0,394,665,8
resource/carnationBossFa_High.png,1482,0,396,665,8
resource/carnationBossFa_High.png,1878,0,394,665,8
resource/carnationBossFa_High.png,2272,0,396,665,8
resource/carnationBossFa_High.png,2668,0,394,665,8
resource/carnationBossFa_High.png,2272,0,396,665,8
resource/carnationBossFa_High.png,2668,0,394,665,8
resource/carnationBossFa_High.png,2272,0,396,665,8
resource/carnationBossFa_High.png,2668,0,394,665,8
resource/carnationBossFa_High.png,2272,0,396,665,8
resource/carnationBossFa_High.png,2668,0,394,665,8
resource/carnationBossFa_High.png,2272,0,396,665,8
resource/carnationBossFa_High.png,2668,0,394,665,8
resource/carnationBossFa_High.png,3062,0,396,665,8
resource/carnationBossFa_High.png,3458,0,394,665,8
resource/carnationBossFa_High.png,3852,0,396,665,8
resource/carnationBossFa_High.png,4248,0,394,665,8
resource/carnationBossFa_High.png,4642,0,316,665,8
resource/carnationBossFa_High.png,4958,0,451,665,8
resource/carnationBossFa_High.png,5409,0,550,665,8
resource/carnationBossFa_High.png,5959,0,677,665,8
resource/carnationBossFa_High.png,6636,0,1135,665,8
resource/carnationBossFa_High.png,7771,0,1141,665,8
resource/carnationBossFa_High.png,8912,0,1150,665,8
resource/carnationBossFa_High.png,10062,0,1149,665,8
resource/carnationBossFa_High.png,6636,0,1135,665,8
resource/carnationBossFa_High.png,7771,0,1141,665,8
resource/carnationBossFa_High.png,8912,0,1150,665,8
resource/carnationBossFa_High.png,10062,0,1149,665,8
resource/carnationBossFa_High.png,6636,0,1135,665,8
resource/carnationBossFa_High.png,7771,0,1141,665,8
resource/carnationBossFa_High.png,8912,0,1150,665,8
resource/carnationBossFa_High.png,10062,0,1149,665,8
resource/carnationBossFa_High.png,11211,0,1041,665,8
resource/carnationBossFa_High.png,12252,0,989,665,8
resource/carnationBossFa_High.png,13241,0,458,665,8
resource/carnationBossFa_High.png,13699,0,347,665,8
resource/carnationBossFa_High.png,14046,0,325,665,8
