ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
carnationBossFa_Low,15,0,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/carnationBossFa_Low.png,0,0,300,608,8
resource/carnationBossFa_Low.png,300,0,346,608,8
resource/carnationBossFa_Low.png,646,0,363,608,8
resource/carnationBossFa_Low.png,1009,0,368,608,8
resource/carnationBossFa_Low.png,1377,0,369,608,8
resource/carnationBossFa_Low.png,1746,0,357,608,8
resource/carnationBossFa_Low.png,2103,0,369,608,8
resource/carnationBossFa_Low.png,2472,0,357,608,8
resource/carnationBossFa_Low.png,2103,0,369,608,8
resource/carnationBossFa_Low.png,2472,0,357,608,8
resource/carnationBossFa_Low.png,2103,0,369,608,8
resource/carnationBossFa_Low.png,2472,0,357,608,8
resource/carnationBossFa_Low.png,2103,0,369,608,8
resource/carnationBossFa_Low.png,2472,0,357,608,8
resource/carnationBossFa_Low.png,2103,0,369,608,8
resource/carnationBossFa_Low.png,2472,0,357,608,8
resource/carnationBossFa_Low.png,2829,0,369,608,8
resource/carnationBossFa_Low.png,3198,0,357,608,8
resource/carnationBossFa_Low.png,3555,0,369,608,8
resource/carnationBossFa_Low.png,3924,0,357,608,8
resource/carnationBossFa_Low.png,4281,0,354,608,8
resource/carnationBossFa_Low.png,4635,0,384,608,8
resource/carnationBossFa_Low.png,5019,0,581,608,8
resource/carnationBossFa_Low.png,5600,0,723,608,8
resource/carnationBossFa_Low.png,6323,0,1221,608,8
resource/carnationBossFa_Low.png,7544,0,1245,608,8
resource/carnationBossFa_Low.png,8789,0,1232,608,8
resource/carnationBossFa_Low.png,10021,0,1224,608,8
resource/carnationBossFa_Low.png,11245,0,1169,608,8
resource/carnationBossFa_Low.png,7544,0,1245,608,8
resource/carnationBossFa_Low.png,8789,0,1232,608,8
resource/carnationBossFa_Low.png,10021,0,1224,608,8
resource/carnationBossFa_Low.png,11245,0,1169,608,8
resource/carnationBossFa_Low.png,7544,0,1245,608,8
resource/carnationBossFa_Low.png,8789,0,1232,608,8
resource/carnationBossFa_Low.png,10021,0,1224,608,8
resource/carnationBossFa_Low.png,11245,0,1169,608,8
resource/carnationBossFa_Low.png,12414,0,1103,608,8
resource/carnationBossFa_Low.png,13517,0,667,608,8
resource/carnationBossFa_Low.png,14184,0,567,608,8
resource/carnationBossFa_Low.png,14751,0,518,608,8
resource/carnationBossFa_Low.png,15269,0,608,608,8
