ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
carnationBossFinalIdle,15,1,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/carnationBossFinalIdle.png,0,0,434,706,8
resource/carnationBossFinalIdle.png,434,0,445,706,8
resource/carnationBossFinalIdle.png,879,0,449,706,8
resource/carnationBossFinalIdle.png,1328,0,457,706,8
resource/carnationBossFinalIdle.png,1785,0,459,706,8
resource/carnationBossFinalIdle.png,2244,0,461,706,8
resource/carnationBossFinalIdle.png,2705,0,462,706,8
resource/carnationBossFinalIdle.png,3167,0,462,706,8
resource/carnationBossFinalIdle.png,3629,0,463,706,8
resource/carnationBossFinalIdle.png,4092,0,463,706,8
resource/carnationBossFinalIdle.png,4555,0,491,706,8
resource/carnationBossFinalIdle.png,5046,0,509,706,8
resource/carnationBossFinalIdle.png,5555,0,514,706,8
resource/carnationBossFinalIdle.png,6069,0,509,706,8
resource/carnationBossFinalIdle.png,6578,0,497,706,8
resource/carnationBossFinalIdle.png,7075,0,474,706,8
resource/carnationBossFinalIdle.png,7549,0,467,706,8
resource/carnationBossFinalIdle.png,8016,0,459,706,8
