ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
carnationBossIdle,15,1,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/carnationBossIdle.png,0,0,510,673,7
resource/carnationBossIdle.png,510,0,488,673,7
resource/carnationBossIdle.png,998,0,481,673,7
resource/carnationBossIdle.png,1479,0,470,673,7
resource/carnationBossIdle.png,1949,0,451,673,7
resource/carnationBossIdle.png,2400,0,410,673,7
resource/carnationBossIdle.png,2810,0,367,673,7
resource/carnationBossIdle.png,3177,0,335,673,7
resource/carnationBossIdle.png,3512,0,314,673,7
resource/carnationBossIdle.png,3826,0,304,673,7
resource/carnationBossIdle.png,4130,0,305,673,7
resource/carnationBossIdle.png,4435,0,329,673,7
resource/carnationBossIdle.png,4764,0,329,673,7
resource/carnationBossIdle.png,5093,0,356,673,7
resource/carnationBossIdle.png,5449,0,393,673,7
resource/carnationBossIdle.png,5842,0,448,673,7
resource/carnationBossIdle.png,6737,0,485,673,7
resource/carnationBossIdle.png,0,0,510,673,7
resource/carnationBossIdle.png,510,0,488,673,7
resource/carnationBossIdle.png,998,0,481,673,7
resource/carnationBossIdle.png,1479,0,470,673,7
resource/carnationBossIdle.png,1949,0,451,673,7
resource/carnationBossIdle.png,2400,0,410,673,7
resource/carnationBossIdle.png,2810,0,367,673,7
resource/carnationBossIdle.png,3177,0,335,673,7
resource/carnationBossIdle.png,3512,0,314,673,7
resource/carnationBossIdle.png,3826,0,304,673,7
resource/carnationBossIdle.png,4130,0,305,673,7
resource/carnationBossIdle.png,4435,0,329,673,7
resource/carnationBossIdle.png,4764,0,329,673,7
resource/carnationBossIdle.png,5093,0,356,673,7
resource/carnationBossIdle.png,5449,0,393,673,7
resource/carnationBossIdle.png,5842,0,448,673,7
resource/carnationBossIdle.png,6737,0,485,673,7
resource/carnationBossIdle.png,7222,0,504,673,7
resource/carnationBossIdle.png,7726,0,484,673,7
resource/carnationBossIdle.png,8210,0,503,673,7
resource/carnationBossIdle.png,8713,0,510,673,7
resource/carnationBossIdle.png,9223,0,510,673,7
resource/carnationBossIdle.png,9733,0,510,673,7
resource/carnationBossIdle.png,10243,0,510,673,7
