ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
carnationChamperDie,15,0,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/carnationChamperDie.png,0,0,73,282,7
resource/carnationChamperDie.png,73,0,66,282,7
resource/carnationChamperDie.png,139,0,119,282,7
resource/carnationChamperDie.png,258,0,220,282,7
resource/carnationChamperDie.png,478,0,217,282,7
resource/carnationChamperDie.png,695,0,172,282,7
resource/carnationChamperDie.png,867,0,190,282,7
resource/carnationChamperDie.png,1057,0,215,282,7
resource/carnationChamperDie.png,1272,0,226,282,7
resource/carnationChamperDie.png,1498,0,243,282,7
resource/carnationChamperDie.png,1741,0,253,282,7
resource/carnationChamperDie.png,1994,0,272,282,7
resource/carnationChamperDie.png,2266,0,272,282,7
resource/carnationChamperDie.png,2538,0,278,282,7
resource/carnationChamperDie.png,2816,0,281,282,7
