ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
carnationSeedPinkGround,15,0,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/carnationSeedPinkGround.png,0,0,51,61,7
resource/carnationSeedPinkGround.png,51,0,53,61,7
resource/carnationSeedPinkGround.png,104,0,54,61,7
resource/carnationSeedPinkGround.png,158,0,49,61,7
resource/carnationSeedPinkGround.png,207,0,51,61,7
resource/carnationSeedPinkGround.png,258,0,57,61,7
resource/carnationSeedPinkGround.png,315,0,61,61,7
resource/carnationSeedPinkGround.png,376,0,64,61,7
resource/carnationSeedPinkGround.png,440,0,14,61,7
resource/carnationSeedPinkGround.png,454,0,13,61,7
