ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
carnationSeedPurpleCreater,15,1,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/carnationSeedPurpleCreater.png,0,0,72,124,7
resource/carnationSeedPurpleCreater.png,72,0,46,124,7
resource/carnationSeedPurpleCreater.png,118,0,45,124,7
resource/carnationSeedPurpleCreater.png,163,0,51,124,7
resource/carnationSeedPurpleCreater.png,214,0,58,124,7
resource/carnationSeedPurpleCreater.png,272,0,57,124,7
resource/carnationSeedPurpleCreater.png,329,0,73,124,7
resource/carnationSeedPurpleCreater.png,402,0,69,124,7
resource/carnationSeedPurpleCreater.png,471,0,61,124,7
