ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
carnationSeedVine,15,0,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/carnationSeedVine.png,0,0,49,332,7
resource/carnationSeedVine.png,49,0,49,332,7
resource/carnationSeedVine.png,98,0,58,332,7
resource/carnationSeedVine.png,156,0,58,332,7
resource/carnationSeedVine.png,214,0,51,332,7
resource/carnationSeedVine.png,265,0,57,332,7
resource/carnationSeedVine.png,322,0,61,332,7
resource/carnationSeedVine.png,383,0,61,332,7
resource/carnationSeedVine.png,444,0,60,332,7
resource/carnationSeedVine.png,504,0,60,332,7
resource/carnationSeedVine.png,564,0,72,332,7
resource/carnationSeedVine.png,636,0,72,332,7
resource/carnationSeedVine.png,708,0,69,332,7
resource/carnationSeedVine.png,777,0,70,332,7
resource/carnationSeedVine.png,847,0,78,332,7
resource/carnationSeedVine.png,925,0,84,332,7
resource/carnationSeedVine.png,1009,0,83,332,7
