ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
carntionBossFireSeed,15,0,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/carntionBossFireSeed.png,0,0,391,615,8
resource/carntionBossFireSeed.png,391,0,500,615,8
resource/carntionBossFireSeed.png,891,0,491,615,8
resource/carntionBossFireSeed.png,1382,0,453,615,8
resource/carntionBossFireSeed.png,1835,0,490,615,8
resource/carntionBossFireSeed.png,2325,0,504,615,8
resource/carntionBossFireSeed.png,2829,0,484,615,8
resource/carntionBossFireSeed.png,3313,0,464,615,8
resource/carntionBossFireSeed.png,3777,0,450,615,8
resource/carntionBossFireSeed.png,4227,0,439,615,8
resource/carntionBossFireSeed.png,4666,0,422,615,8
resource/carntionBossFireSeed.png,5088,0,429,615,8
resource/carntionBossFireSeed.png,5517,0,426,615,8
resource/carntionBossFireSeed.png,5943,0,440,615,8
resource/carntionBossFireSeed.png,6383,0,450,615,8
resource/carntionBossFireSeed.png,2325,0,504,615,8
resource/carntionBossFireSeed.png,2829,0,484,615,8
resource/carntionBossFireSeed.png,3313,0,464,615,8
resource/carntionBossFireSeed.png,3777,0,450,615,8
resource/carntionBossFireSeed.png,4227,0,439,615,8
resource/carntionBossFireSeed.png,4666,0,422,615,8
resource/carntionBossFireSeed.png,5088,0,429,615,8
resource/carntionBossFireSeed.png,5517,0,426,615,8
resource/carntionBossFireSeed.png,5943,0,440,615,8
resource/carntionBossFireSeed.png,6383,0,450,615,8
resource/carntionBossFireSeed.png,2325,0,504,615,8
resource/carntionBossFireSeed.png,2829,0,484,615,8
resource/carntionBossFireSeed.png,3313,0,464,615,8
resource/carntionBossFireSeed.png,3777,0,450,615,8
resource/carntionBossFireSeed.png,4227,0,439,615,8
resource/carntionBossFireSeed.png,4666,0,422,615,8
resource/carntionBossFireSeed.png,5088,0,429,615,8
resource/carntionBossFireSeed.png,5517,0,426,615,8
resource/carntionBossFireSeed.png,5943,0,440,615,8
resource/carntionBossFireSeed.png,6383,0,450,615,8
resource/carntionBossFireSeed.png,2325,0,504,615,8
resource/carntionBossFireSeed.png,2829,0,484,615,8
resource/carntionBossFireSeed.png,3313,0,464,615,8
resource/carntionBossFireSeed.png,3777,0,450,615,8
resource/carntionBossFireSeed.png,4227,0,439,615,8
resource/carntionBossFireSeed.png,4666,0,422,615,8
resource/carntionBossFireSeed.png,5088,0,429,615,8
resource/carntionBossFireSeed.png,5517,0,426,615,8
resource/carntionBossFireSeed.png,5943,0,440,615,8
resource/carntionBossFireSeed.png,6383,0,450,615,8
resource/carntionBossFireSeed.png,2325,0,504,615,8
resource/carntionBossFireSeed.png,2829,0,484,615,8
resource/carntionBossFireSeed.png,3313,0,464,615,8
resource/carntionBossFireSeed.png,3777,0,450,615,8
resource/carntionBossFireSeed.png,4227,0,439,615,8
resource/carntionBossFireSeed.png,4666,0,422,615,8
resource/carntionBossFireSeed.png,5088,0,429,615,8
resource/carntionBossFireSeed.png,5517,0,426,615,8
resource/carntionBossFireSeed.png,5943,0,440,615,8
resource/carntionBossFireSeed.png,6383,0,450,615,8
resource/carntionBossFireSeed.png,2325,0,504,615,8
resource/carntionBossFireSeed.png,2829,0,484,615,8
resource/carntionBossFireSeed.png,3313,0,464,615,8
resource/carntionBossFireSeed.png,3777,0,450,615,8
resource/carntionBossFireSeed.png,4227,0,439,615,8
resource/carntionBossFireSeed.png,4666,0,422,615,8
resource/carntionBossFireSeed.png,5088,0,429,615,8
resource/carntionBossFireSeed.png,5517,0,426,615,8
resource/carntionBossFireSeed.png,5943,0,440,615,8
resource/carntionBossFireSeed.png,6383,0,450,615,8
resource/carntionBossFireSeed.png,2325,0,504,615,8
resource/carntionBossFireSeed.png,2829,0,484,615,8
resource/carntionBossFireSeed.png,3313,0,464,615,8
resource/carntionBossFireSeed.png,3777,0,450,615,8
resource/carntionBossFireSeed.png,4227,0,439,615,8
resource/carntionBossFireSeed.png,4666,0,422,615,8
resource/carntionBossFireSeed.png,5088,0,429,615,8
resource/carntionBossFireSeed.png,5517,0,426,615,8
resource/carntionBossFireSeed.png,5943,0,440,615,8
resource/carntionBossFireSeed.png,6383,0,450,615,8
resource/carntionBossFireSeed.png,6833,0,454,615,8
resource/carntionBossFireSeed.png,7287,0,477,615,8
resource/carntionBossFireSeed.png,7764,0,503,615,8
resource/carntionBossFireSeed.png,8267,0,476,615,8
resource/carntionBossFireSeed.png,8743,0,456,615,8
resource/carntionBossFireSeed.png,9199,0,482,615,8
resource/carntionBossFireSeed.png,9681,0,503,615,8
