ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
onionLeave,20,0,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/onionLeave.png,0,0,449,604,7
resource/onionLeave.png,449,0,452,604,7
resource/onionLeave.png,901,0,456,604,7
resource/onionLeave.png,1357,0,480,604,7
resource/onionLeave.png,1837,0,502,604,7
resource/onionLeave.png,2339,0,508,604,7
resource/onionLeave.png,2847,0,515,604,7
resource/onionLeave.png,3362,0,568,604,7
resource/onionLeave.png,3930,0,537,604,7
resource/onionLeave.png,4467,0,527,604,7
resource/onionLeave.png,4994,0,522,604,7
resource/onionLeave.png,5516,0,500,604,7
resource/onionLeave.png,6016,0,488,604,7
resource/onionLeave.png,6504,0,477,604,7
resource/onionLeave.png,6981,0,471,604,7
resource/onionLeave.png,7452,0,456,604,7
resource/onionLeave.png,7908,0,444,604,7
resource/onionLeave.png,8352,0,441,604,7
resource/onionLeave.png,8793,0,436,604,7
resource/onionLeave.png,9229,0,437,604,7
resource/onionLeave.png,9666,0,411,604,7
resource/onionLeave.png,10077,0,371,604,7
resource/onionLeave.png,10448,0,340,604,7
resource/onionLeave.png,10788,0,259,604,7
resource/onionLeave.png,11047,0,279,604,7
resource/onionLeave.png,11326,0,280,604,7
resource/onionLeave.png,11606,0,154,604,7
resource/onionLeave.png,11760,0,101,604,7
resource/onionLeave.png,11861,0,97,604,7
resource/onionLeave.png,11958,0,101,604,7
resource/onionLeave.png,12059,0,100,604,7
resource/onionLeave.png,12159,0,96,604,7
