ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
potatoIntroFront,20,0,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/potatoIntroFront.png,0,0,314,454,7
resource/potatoIntroFront.png,314,0,402,454,7
resource/potatoIntroFront.png,716,0,398,454,7
resource/potatoIntroFront.png,1114,0,401,454,7
resource/potatoIntroFront.png,1515,0,396,454,7
resource/potatoIntroFront.png,1911,0,400,454,7
resource/potatoIntroFront.png,2311,0,394,454,7
resource/potatoIntroFront.png,2705,0,401,454,7
resource/potatoIntroFront.png,3106,0,404,454,7
resource/potatoIntroFront.png,3510,0,408,454,7
resource/potatoIntroFront.png,3918,0,400,454,7
resource/potatoIntroFront.png,4318,0,417,454,7
resource/potatoIntroFront.png,4735,0,446,454,7
resource/potatoIntroFront.png,5181,0,586,454,7
resource/potatoIntroFront.png,5767,0,525,454,7
resource/potatoIntroFront.png,6292,0,592,454,7
resource/potatoIntroFront.png,6884,0,592,454,7
resource/potatoIntroFront.png,7476,0,390,454,7
