ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
potatoLeave,15,0,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/potatoLeave.png,0,0,295,414,7
resource/potatoLeave.png,295,0,295,414,7
resource/potatoLeave.png,590,0,295,414,7
resource/potatoLeave.png,885,0,335,414,7
resource/potatoLeave.png,1220,0,308,414,7
resource/potatoLeave.png,1528,0,305,414,7
resource/potatoLeave.png,1833,0,298,414,7
resource/potatoLeave.png,2131,0,302,414,7
resource/potatoLeave.png,2433,0,304,414,7
resource/potatoLeave.png,2737,0,304,414,7
resource/potatoLeave.png,3041,0,302,414,7
resource/potatoLeave.png,3343,0,298,414,7
resource/potatoLeave.png,3641,0,304,414,7
resource/potatoLeave.png,3945,0,304,414,7
resource/potatoLeave.png,4249,0,291,414,7
resource/potatoLeave.png,4540,0,290,414,7
resource/potatoLeave.png,4830,0,279,414,7
resource/potatoLeave.png,5109,0,276,414,7
resource/potatoLeave.png,5385,0,286,414,7
resource/potatoLeave.png,5671,0,275,414,7
resource/potatoLeave.png,5946,0,272,414,7
resource/potatoLeave.png,6218,0,274,414,7
resource/potatoLeave.png,6492,0,278,414,7
resource/potatoLeave.png,6770,0,278,414,7
resource/potatoLeave.png,7048,0,274,414,7
resource/potatoLeave.png,7322,0,244,414,7
resource/potatoLeave.png,7566,0,245,414,7
resource/potatoLeave.png,7811,0,254,414,7
resource/potatoLeave.png,8065,0,247,414,7
resource/potatoLeave.png,8312,0,250,414,7
resource/potatoLeave.png,8562,0,250,414,7
resource/potatoLeave.png,8812,0,247,414,7
resource/potatoLeave.png,9059,0,211,414,7
resource/potatoLeave.png,9270,0,165,414,7
resource/potatoLeave.png,9435,0,110,414,7
